=== Test Case Setup ===
{simCfg:{nbTxsCoef:320 txSizeCoef:1000 minimumFeeRate:0 feeRateCoef:25000 feeRateHistReportValues:[]} estCfg:{maxConfirms:32 minBucketFee:100 maxBucketFee:400000 feeRateStep:1.1} testMinConfs:[1 2 4 6 8 12 16 32]}

=== Fees to use for minConf confirmations ===
           1           2           4           6           8          12          16          32
  0.00046736  0.00031933  0.00024006  0.00019848  0.00014911  0.00011201  0.00010181  0.00002438

=== Histograms for simulated data ===
Block Size Histogram
    0.26    0.43    0.74    1.26    2.13    3.63    6.17   10.49   17.83   30.30   51.52   87.58  148.89  253.11  390.93
       3       0       0       0       1       4       1      10       4      11      18      37      68   25762       0
    0.01    0.00    0.00    0.00    0.00    0.02    0.00    0.04    0.02    0.04    0.07    0.14    0.26   99.39    0.00

Tx Size Histogram
    0.26    0.43    0.74    1.26    2.13    3.63    6.17   10.49   17.83   30.30   51.52   87.58  148.89  253.11  390.93
 1626035 1751922 1992066 1719548  949700  252549   21279     520     305     238       0       0       0       0       0
   19.56   21.07   23.96   20.68   11.42    3.04    0.26    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00

Fee Rate Histogram
   0.00000010   0.00037509   0.00075008   0.00112507   0.00150006   0.00187505   0.00225004   0.00262503   0.00300002   0.00337501
      6461563      1439944       320849        71375        15808         3587          827          161           39            0
        77.72        17.32         3.86         0.86         0.19         0.04         0.01         0.00         0.00         0.00

Tx per block Histogram
       1       2       4       8      16      32      64     128     256     512    1024    2048    4096
       3       4       4       6       9      23      45     102   25723       0       0       0       0
    0.01    0.02    0.02    0.02    0.03    0.09    0.17    0.39   99.24    0.00    0.00    0.00    0.00

Mining Interval Histogram
          1          2          3          4          6         10         16         32         64 2147483647
    4493457     907645     461337     293346     357701     375358     278750     325490     246311     511955
      54.46      11.00       5.59       3.56       4.34       4.55       3.38       3.94       2.99       6.20

Block Counts
  total = 25919  w/ filled mempool = 25684 (99.09%)  longest mine delay = 15826

=== Internal Estimator State ===
          |                1|                2|                3|                4|                5|                6|                7|                8|                9|               10|               11|               12|               13|               14|               15|               16|               17|               18|               19|               20|               21|               22|               23|               24|               25|               26|               27|               28|               29|               30|               31|             +Inf
0.00000100| 0.00000071     0| 0.00000070     0| 0.00000066     0| 0.00000061     0| 0.00000061     0| 0.00000061     0| 0.00000061     0| 0.00000061     0| 0.00000061     0| 0.00000061     0| 0.00000059     0| 0.00000059     0| 0.00000059     0| 0.00000059     0| 0.00000057     0| 0.00000057     0| 0.00000058     0| 0.00000057     0| 0.00000055     0| 0.00000055     0| 0.00000056     0| 0.00000056     0| 0.00000056     0| 0.00000056     0| 0.00000056     0| 0.00000056     0| 0.00000056     0| 0.00000057     0| 0.00000056     0| 0.00000055     0| 0.00000055     0| 0.00000050     0
0.00000110| 0.00000109     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000107     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000106     0| 0.00000105     0
0.00000121| 0.00000121     0| 0.00000120     0| 0.00000120     0| 0.00000120     0| 0.00000120     0| 0.00000120     0| 0.00000119     0| 0.00000119     0| 0.00000119     0| 0.00000119     0| 0.00000119     0| 0.00000119     0| 0.00000119     0| 0.00000119     0| 0.00000118     0| 0.00000118     0| 0.00000118     0| 0.00000118     0| 0.00000118     0| 0.00000118     0| 0.00000118     0| 0.00000118     0| 0.00000118     0| 0.00000117     0| 0.00000117     0| 0.00000117     0| 0.00000117     0| 0.00000117     0| 0.00000117     0| 0.00000117     0| 0.00000117     0| 0.00000116     0
0.00000133| 0.00000129     0| 0.00000129     0| 0.00000129     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000127     0| 0.00000127     0| 0.00000127     0| 0.00000127     0| 0.00000127     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000129     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000128     0| 0.00000127     0
0.00000146| 0.00000140     0| 0.00000140     0| 0.00000141     0| 0.00000141     0| 0.00000141     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000138     0| 0.00000138     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000139     0| 0.00000140     0
0.00000161| 0.00000157     0| 0.00000157     0| 0.00000154     0| 0.00000154     0| 0.00000154     0| 0.00000155     0| 0.00000155     0| 0.00000155     0| 0.00000154     0| 0.00000154     0| 0.00000154     0| 0.00000155     0| 0.00000155     0| 0.00000154     0| 0.00000154     0| 0.00000154     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000153     0| 0.00000154     0
0.00000177| 0.00000167     0| 0.00000167     0| 0.00000167     0| 0.00000167     0| 0.00000167     0| 0.00000167     0| 0.00000169     0| 0.00000170     0| 0.00000171     0| 0.00000171     0| 0.00000171     0| 0.00000169     0| 0.00000168     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000169     0| 0.00000168     0| 0.00000168     0| 0.00000168     0| 0.00000168     0| 0.00000168     0| 0.00000168     0| 0.00000168     0| 0.00000168     0| 0.00000170     0
0.00000195| 0.00000193     0| 0.00000188     0| 0.00000188     0| 0.00000187     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000187     0| 0.00000187     0| 0.00000187     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000187     0| 0.00000187     0| 0.00000187     0| 0.00000187     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000188     0| 0.00000186     0
0.00000214| 0.00000206     0| 0.00000206     0| 0.00000207     0| 0.00000207     0| 0.00000207     0| 0.00000206     0| 0.00000205     0| 0.00000206     0| 0.00000206     0| 0.00000205     0| 0.00000206     0| 0.00000205     0| 0.00000205     0| 0.00000205     0| 0.00000205     0| 0.00000205     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000204     0| 0.00000205     0| 0.00000205     0| 0.00000205     0| 0.00000205     0
0.00000236| 0.00000224     0| 0.00000224     0| 0.00000225     0| 0.00000224     0| 0.00000224     0| 0.00000224     0| 0.00000224     0| 0.00000225     0| 0.00000225     0| 0.00000224     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0| 0.00000225     0
